id name hot_id hot_name neighbourhood_group neighbourhood latitude longitude room_type 294 minimum_night number_of_review lat_review review_per_month calculated_hot_liting_count availability_365
17979764,Jen Apt,84497333,Jennifer,Manhattan,SoHo,40.72237,-73.99817,Private room,10,5,2,2017-04-15,0.07,1,0
16620607,Spaciou and Modern 2 Bedroom Apartment,109725962,Erika,Brooklyn,Buhwick,40.68994,-73.91556,Entire home/apt,11,2,113,2019-06-22,3.86,1,261
21893604,Private Bedroom in Wet Village/Chelea,1144452,Dante,Manhattan,Chelea,40.74045,-74.00047,Private room,12,3,8,2019-06-07,0.59,1,37
34870577,Happy Home 3,158178970,Raquel,Staten Iland,Randall Manor,40.63136,-74.12559,Shared room,13,1,9,2019-07-05,5.51,3,8
18007671,Cute 1 bedroom baement apartment,73228035,Maimi,Brooklyn,Eat Flatbuh,40.662,-73.93775,Private room,15,1,2,2017-04-17,0.07,2,0
3258197,Large 1br Duplex in Heart of Upper Eat Side,16477306,Jeff,Manhattan,Upper Eat Side,40.76866,-73.95553,Entire home/apt,16,2,21,2019-06-30,1.69,1,9
34228341,A.Hamilton(for GUYS only),51596474,Antony,Brooklyn,Bay Ridge,40.62638,-74.01837,Shared room,18,9,1,2019-06-15,1,12,0
15966074,Evergreen Upper Bed for Female Traveler 紐約民宿,101491116,Tong,Brooklyn,Cypre Hill,40.68313,-73.87077,Shared room,19,2,76,2019-06-20,2.40,6,120
375249,Enjoy Staten Iland Hopitality,1887999,Rimma & Jim,Staten Iland,Graniteville,40.62109,-74.16534,Private room,20,3,80,2019-05-26,0.92,1,226
16161819,Cozy Room in a 2BR Apartment,83732495,Debbie,Brooklyn,Eat Flatbuh,40.65221,-73.93634,Private room,21,5,4,2017-04-30,0.15,1,0
3359315,Sublet near Columbia Univerity,16948705,Berhani,Manhattan,Harlem,40.81742,-73.95358,Private room,22,10,3,2015-08-08,0.05,1,0
22379163,Cozy room in a big apartment around Myrtle Ave,150891854,Jiyoung,Brooklyn,Bedford-Stuyveant,40.69178,-73.9369,Private room,23,3,2,2018-01-16,0.11,1,0
9768765,Room in quiet Brooklyn home,50369736,Benjamin,Brooklyn,Kenington,40.64637,-73.97863,Private room,24,18,1,2016-01-29,0.02,1,0
